stock,stock.long,jurisdiction,jurisdiction.long,stock.country
ACI,,AK,alaska,US
ADM,,AK,alaska,US
AHC,,AK,alaska,US
AKS,,AK,alaska,US
ALP,,AK,alaska,US
ANB,,AK,alaska,US
CHK,,AK,alaska,US
UNU,,AK,alaska,US
ATN,,BC,british columbia,CA
ATS,,BC,british columbia,CA
BQR,,BC,british columbia,CA
CHI,,BC,british columbia,CA
COW,,BC,british columbia,CA
DOM,,BC,british columbia,CA
HAR,,BC,british columbia,CA
KLM,,BC,british columbia,CA
KLY,,BC,british columbia,CA
MSH,,BC,british columbia,CA
NAN,,BC,british columbia,CA
NIC,,BC,british columbia,CA
PPS,,BC,british columbia,CA
PHI,,BC,british columbia,CA
QUI,,BC,british columbia,CA
RBT,,BC,british columbia,CA
SHU,,BC,british columbia,CA
WSH,,LCS,,US
LRW,,LRB,,US
CWF,,LRT,,US
LRH,,LRT,,US
SPR,,LRT,,US
GAD,,PS,puget sound,US
NIS,,PS,puget sound,US
NKS,,PS,puget sound,US
NSF,,PS,puget sound,US
SAM,,PS,puget sound,US
SKF,,PS,puget sound,US
SKS,,PS,puget sound,US
SKY,,PS,puget sound,US
SPS,,PS,puget sound,US
SPY,,PS,puget sound,US
SQP,,PS,puget sound,US
SSF,,PS,puget sound,US
STL,,PS,puget sound,US
UWA,,PS,puget sound,US
WRY,,PS,puget sound,US
STI,,TB,transboundary,TB
TAK,,TB,transboundary,TB
HAN,,UC,upper columbia,US
LYF,,UC,upper columbia,US
LYY,,UC,upper columbia,US
SUM,,UC,upper columbia,US
URB,,UC,upper columbia,US
ELK,,WOC,washington outer coast,US
ELW,,WOC,washington outer coast,US
HOK,,WOC,washington outer coast,US
QUE,,WOC,washington outer coast,US
SOO,,WOC,washington outer coast,US
SRH,,WOC,washington outer coast,US
